BĐS,Loại BĐS,Tỉnh/Thành phố,Quận/Huyện,Diện tích(m2),Phòng ngủ,Nhà vệ sinh,Giá (tỷ đồng),Triệu/m2,Thời gian(năm)
"Sát Mặt Tiền!!! Nhà mới đẹp 4 tấm khu Tân Hóa- Lũy Bán Bích. DT: (7x18)m Giá: 15,8 tỷ(TL)",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,122.0,5.0,5.0,15.8,129.5,2025
"Chính chủ bán nhà 389/15, Trần Bình Trọng, Quận 10. DT: 3.4m*11.5m. CN: 40m2. 2 tầng. Giá 7.5 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,39.4,3.0,2.0,7.5,190.4,2025
"Nhà phố 2L (3,6x19,5) đối diện công viên đường Nguyễn Đình Khơi - khu Đệ Nhất KSạn, khu ít nhà bán",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,70.0,3.0,4.0,15.5,221.4,2025
Biệt thự mini 4 lầu ngang 6m khu VIP gần Sân Bay TSN cho thuê 40tr/th chốt 12.8 tỷ,Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,93.0,1.0,1.0,12.8,137.6,2025
"Chính chủ bán nhà HXH 82/36/2A đường số 2, Phường Hiệp Bình Phước Thủ Đức. Gọi chị Ni : 0946 882 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,34.0,1.0,1.0,3.4,98.5,2025
SIÊU PHẨM 5 SAO - 72M (5.3x14) - 6 TẦNG - THANG MÁY - THIẾT KẾ FULL NỘI THẤT CHÂU ÂU - PHẠM VĂN,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,72.0,4.0,5.0,11.5,159.7,2025
[QUẬN 7] NHÀ ĐẸP Ở NGAY PHÂN KHÚC HIẾM - MẶT TIỀN HẺM XE HƠI - 4 TẦNG - 4.2x15M - CHỈ 10.8 TỶ,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 7,63.0,4.0,3.0,10.8,171.4,2025
"Chính chủ bán nhà riêng 5,35 tỷ. Nhà 4 tầng, 3PN, dt 20,5 m2, Đề Thám, Cô Giang, Quận 1",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 1,20.5,3.0,1.0,5.3,261.0,2025
Ngộp bank bán gấp nhà 5 tầng đúc Lý Thái Tổ 7PN 7WC đang cho thuê 25tr/ tháng,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,35.0,7.0,7.0,5.8,165.7,2025
Nhà Đẹp Ngô Gia Tự Quận 10 Nội Thất Cao Cấp 40m2 chỉ 8 Tỷ hơn,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,40.0,4.0,3.0,8.0,200.0,2025
"Bán nhà trung tâm Q1, sân đỗ 5 xe hơi",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 1,66.0,9.0,9.0,18.5,280.3,2025
"Chính Chủ Hạ giá bán gấp Nhà Đẹp Bình Thạnh, giá Chỉ Còn 21 tỷ có thương lượng. LH 0943 653 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,143.0,31.0,1.0,21.0,146.8,2025
Bán đất tặng dãy trọ diện tích bề ngang khủng hẻm 8m đường Phạm Văn Chiêu P. 9 Gò Vấp: 5.5 x 15,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,82.0,1.0,1.0,7.7,93.3,2025
"Hiếm bán đất tặng nhà cấp 4, hẻm ô tô 7 chỗ, Đỗ Xuân Hợp, Phước Long B, chỉ 5.3 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,60.0,2.0,1.0,5.3,88.3,2025
"2 MT Nhà Hẻm 10m P.Bến Nghé Quận 1 Đường Nguyễn Bỉnh Khiêm - DT: 5x20m CN:98m2 Giá 33,5 Tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 1,98.0,3.0,3.0,33.5,341.8,2025
"Nhà phố 3 lầu (4mx12,5m=50m2) 5 phòng ngủ hẻm ôtô 7 chỗ khu đồng bộ Nguyễn Thượng Hiền, Bình Thạnh",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,50.0,5.0,6.0,9.4,187.8,2025
"Siêu phẩm hầm, 4L, ST, thang máy (4,75x17=80,75m2) full NTCC đường nội bộ 12m khu VIP 3 Tháng 2",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,80.8,6.0,5.0,31.6,391.3,2025
"Nhà cấp 4 chỉ 5,6tỷ, sân đậu 2 ô tô, diện tích 106m2, đường xe tải, Phú Hữu, Quận 9, hỗ trợ bank",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 9,106.0,2.0,2.0,5.6,52.7,2025
Nhà mặt tiền đường lớn 120m2 - ngay trung tâm chợ - sổ hồng riêng - được trả góp,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Chánh,120.0,2.0,2.0,0.9,7.8,2025
"Cần bán gấp toà nhà căn hộ cho thuê. 145/12A Nguyễn Đình Chính, P11, Phú Nhuận. Giá giảm 31 tỷ(TL)",Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,90.2,14.0,16.0,31.0,343.7,2025
Căn duy nhất chỉ 5 tỷ nhà mặt tiền 50m đường ô tô đỗ cửa full nội thất xịn trung tâm quận Gò Vấp,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,50.0,3.0,1.0,5.4,108.0,2025
Hoa hồng 2% gửi ae môi giới. Bán nhà kho 180m2 đường Tam Châu Phường Tam Bình Thủ Đức,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,180.0,2.0,2.0,10.0,55.6,2025
Chính chủ cần bán nhà dạng biệt thự HXM Võ Thị Sáu Quận 3. DT 399m2. Đầy đủ nội thất,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,399.0,7.0,7.0,45.0,112.8,2025
"Bán NR 2 tầng tại Đường 6, Hiệp Bình Phước, Thủ Đức, 6,8 tỷ, 96,8m2, Hot!",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,96.8,1.0,1.0,6.8,70.2,2025
"12tỷ9 TL Nhà 5 lầu 73,8m2 căn góc 2MT HXH 6m 7PN, địa chỉ 159/45 Đ. Bạch Đằng, P2, Q. Tân Bình",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,73.8,7.0,7.0,12.9,174.8,2025
"Chính chủ giảm giá sâu bán nhà riêng, sân để xe 7 chỗ, sổ hồng, hẻm xe tải, LH 0981 932 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,101.0,4.0,4.0,6.2,60.9,2025
"Chính chủ định cư nước ngoài cần bán gấp nhà số 15 Phường Bình An ,Thành phố Thủ Đức , pháp lý sạch",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 2,168.0,4.0,5.0,35.0,208.3,2025
"Hiếm! Nhà hẻm xe tải - Nơ Trang Long, Q. Bình Thạnh - 55m2 (7x8) - 2 Tầng - 3PN+2WC - KHÔNG LỘ GIỚI",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,55.0,3.0,2.0,6.6,120.0,2025
Bán nhà riêng 94 m2 Bình Hưng Hoà Bình Tân,Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,94.0,5.0,6.0,11.5,122.3,2025
"Chính chủ bán nhà hẻm xe hơi Nguyễn Tri Phương, Q10 3 tầng, 4PN, giá tốt",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,40.5,4.0,3.0,8.0,196.3,2025
"Chính chủ bán nhà tại Bình Thạnh tại 232/5/23 đường Bình Lợi, 10,6tỷ HXH 12m thông. Gần ĐH Văn Lang",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,67.0,4.0,5.0,10.6,158.2,2025
"Giảm 1tỷ chỉ 9tỷ TL, chính chủ 30 năm bán nhà 2 tầng HXH 6m Lê Tự Tài, P4, Phú Nhuận, 58m2 vuông A4",Nhà Đất Thổ Cư,Hồ Chí Minh,Phú Nhuận,58.0,2.0,2.0,9.0,155.2,2025
"BÁN TOÀ NHÀ 115 LÊ ĐÌNH THÁM, PHƯỜNG TÂN QUÝ, QUẬN TÂN PHÚ",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,179.7,10.0,10.0,33.0,183.6,2025
GÒ VẤP QUANG TRUNG - XE HƠI NGỦ TRONG NHÀ - NỞ HẬU TÀI LỘC - 56M2 - GIÁ NHỈNH 10 TỶ,Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,56.0,4.0,5.0,10.0,178.6,2025
"Bán nhà riêng tại Lê Đức Thọ, Gò Vấp, 1 trệt 1 lầu chỉ với 3.8 tỷ, 33m2",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,33.0,2.0,2.0,3.8,115.2,2025
DUY NHẤT 1 LÔ-ĐƯỜNG NHỰA 8M-KHU NHIỀU NHÀ CAO TẦNG-KHU BÀN CỜ-DT:90M2(5MX1)-CÓ CÔNG VIÊN NỘI BỘ,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,90.0,1.0,1.0,7.4,82.2,2025
Bán nhà 4 tầng 100 m2 xe tải tránh khu 38 ha Gần công viên - rẻ nhất khu vực,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,100.0,5.0,4.0,8.0,80.0,2025
Lạc long quận giáp lý thường kiệt dt. 4.2x14 nhà 3 tầng giá 10.5 tỷ 0966 006 *** trí dũng,Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,60.0,4.0,3.0,10.5,175.0,2025
Nhà 3 tầng 120m2 mặt tiền giáp công viên Thuận Kiều giá ngộp 10 tỷ 680,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,120.0,1.0,1.0,10.7,89.0,2025
View sông thoáng mát Nhà 4 tầng cực mới QL13,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,50.0,4.0,3.0,8.1,161.0,2025
"Bán Nhà Phường 1, Bình Thạnh - Bà Chiểu, Đinh Tiên Hoàng - Kinh Doanh Đỉnh",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,64.0,1.0,1.0,14.8,231.2,2025
"Cực rẻ Q11! Nhà mới đẹp 4 tấm Lý Thường Kiệt P15. DT: (4x10)m Giá: 5,2 tỷ(TL)",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 11,40.0,3.0,3.0,5.2,130.0,2025
"Gia đình tôi bán nhà số 7 đường số 1A khu phố 17 phường Bình Chiểu, Thành phố Thủ Đức",Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,272.3,4.0,5.0,10.2,37.5,2025
"Chính chủ cần bán nhà HXH đường Phạm Văn Đồng, P3, GV, vị trí cách MT PVĐ 20m. DTCN 79,5m2",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,79.5,3.0,3.0,9.8,123.3,2025
"Bán nhà 254/16 đường Liên Khu 4-5, BHHB 4 lầu 5 - 14m nở hậu 6m 5.5 tỷ TL",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Tân,72.0,4.0,5.0,5.5,76.4,2025
52m2 - NGAY VẠN HẠNH MALL - 3 TẦNG - GIÁ 7.9 TỶ RẺ NHẤT QUẬN 10,Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,52.0,3.0,3.0,7.9,151.9,2025
"BÁN NHÀ KINH DOANH CĂN HỘ DỊCH VỤ - 9 PHÒNG FULL NỘI THẤT, CHỈ VIỆC VẬN HÀNH & THU TIỀN",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 4,100.0,9.0,8.0,15.0,150.0,2025
"Cần bán nhà riêng vị trí đắc địa hẻm 453 Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,135.0,3.0,3.0,19.5,144.4,2025
"Bán nhà rộng đẹp 5*10m, nở hậu, 226/4 sư vạn hạnh, quận 10",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 10,51.6,4.0,4.0,8.5,164.7,2025
"Bán NR 52m2, 6,2 tỷ, 3PN, 3WC tại Phan Văn Trị, p 10, Gò Vấp, HCM",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,52.0,3.0,3.0,6.2,119.2,2025
"Bán nhà đường Đinh Tiên Hoàng, Quận Bình Thạnh (đường mới Lê Văn Duyệt), giá 9 tỷ - 0907 868 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Bình Thạnh,42.7,2.0,2.0,9.0,210.8,2025
"Bán NR 6PN 7WC đẹp xuất sắc tại Cách Mạng Tháng Tám, Q3, HCM, 8 tỷ, 50m2, 216m2 DTSD",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 3,50.0,6.0,7.0,8.0,160.0,2025
"Chủ gấp bán nhà HXH đường Độc Lập-Tân Phú: 80m2/4 tầng(5PN/6wc) giá 8,8 tỷ(tặng full nt cao cấp)",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,80.0,5.0,6.0,8.8,110.0,2025
"Chính chủ Bán nhà 2,95 tỷ DTSD 50m nhà 2 tầng, 566/72/45A Ng Thái Sơn, P5, Gò Vấp, TPHCM",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,25.0,2.0,2.0,3.0,118.0,2025
"Nhà full nội thất cao cấp, DT 5.4m x 18m, 3 lầu + sân thượng, gần UBND P. Tân Chánh Hiệp Q12",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,100.0,4.0,4.0,8.9,88.6,2025
"Hàng hiếm! Nhà hẻm 8m đường Trường Chinh, P14 Tân Bình. DT 7.3x16.5m, cấp 4. Giá chỉ 16.5 tỷ",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Bình,110.0,1.0,1.0,16.5,150.0,2025
"Bán nhà riêng gần đầm sen, 341/ đường Khuông Việt hẻm xe tải 7m",Nhà Đất Thổ Cư,Hồ Chí Minh,Tân Phú,35.4,3.0,3.0,6.2,175.0,2025
"Chính chủ bán nhà 1 trệt 1 lửng. Địa chỉ: 362/82/6, phường 12, Gò Vấp 0919 202 ***",Nhà Đất Thổ Cư,Hồ Chí Minh,Gò Vấp,44.4,2.0,2.0,3.7,83.3,2025
Mặt tiền KD 4 tầng mới đẹp đường 12 P.Tam Bình 126m(5x25m) nở hậu thu nhập 30tr/tháng Giá giảm tốt,Nhà Đất Thổ Cư,Hồ Chí Minh,Thủ Đức,126.0,5.0,5.0,13.0,103.2,2025
"Chính chủ giảm 800tr bán nhanh nhà trọ 4 tầng thu nhập 32tr/tháng, hoa hồng gửi môi giới",Nhà Đất Thổ Cư,Hồ Chí Minh,Quận 12,220.0,18.0,1.0,8.0,36.4,2025
