Nganh_nghe,Cong_viec,Muc_luong
Thiết kế đồ họa,Chuyên viên thiết kế,Fresher/Intern: 3 – 5 triệu/tháng
Thiết kế đồ họa,Chuyên viên thiết kế,Junior: 5 – 10 triệu/tháng
Thiết kế đồ họa,Chuyên viên thiết kế,"Senior: 10 – 20,5 triệu/tháng"
Thiết kế đồ họa,Thiết kế quảng cáo,Fresher/Intern: 3 – 8 triệu/tháng
Thiết kế đồ họa,Thiết kế quảng cáo,Junior: 8 – 13 triệu/tháng
Thiết kế đồ họa,Thiết kế quảng cáo,Senior: 13 – 23 triệu/tháng
Thiết kế đồ họa,Thiết kế logo,"Fresher/Intern: 3,5 triệu – 8 triệu/tháng"
Thiết kế đồ họa,Thiết kế logo,Junior: 8 – 13 triệu/tháng
Thiết kế đồ họa,Thiết kế logo,"Senior: 13 – 22,5 triệu"
Thiết kế đồ họa,Thiết kế website,Fresher/Intern: 3 – 8 triệu/tháng
Thiết kế đồ họa,Thiết kế website,Junior: 8 – 13 triệu
Thiết kế đồ họa,Thiết kế website,Senior: 13 – 23 triệu
Thiết kế đồ họa,Thiết kế UI/UX,Fresher/Intern: 4 – 8 triệu/tháng
Thiết kế đồ họa,Thiết kế UI/UX,Junior: 8 – 19 triệu/tháng
Thiết kế đồ họa,Thiết kế UI/UX,Senior: 19 – 26 triệu/tháng
Thiết kế đồ họa,Thiết kế 2D Animator,Fresher/Intern: 4 – 7 triệu/tháng
Thiết kế đồ họa,Thiết kế 2D Animator,Junior: 7 – 12 triệu/tháng
Thiết kế đồ họa,Thiết kế 2D Animator,Senior: 12 – 20 triệu/tháng
Thiết kế đồ họa,Thiết kế 3D Animator,Fresher/Intern: 4 – 8 triệu/tháng
Thiết kế đồ họa,Thiết kế 3D Animator,Junior: 8 – 15 triệu/tháng
Thiết kế đồ họa,Thiết kế 3D Animator,Senior: 15 – 23 triệu/tháng
Xây dựng,Kỹ sư xây dựng,Fresher/Intern: 3 – 7 triệu/tháng
Xây dựng,Kỹ sư xây dựng,Junior: 7 – 12 triệu/tháng
Xây dựng,Kỹ sư xây dựng,Senior: 12 – 18 triệu/tháng
Xây dựng,Giám sát xây dựng,"Fresher/Intern: 3,5 – 8 triệu/tháng"
Xây dựng,Giám sát xây dựng,Junior:  8 – 13 triệu/tháng
Xây dựng,Giám sát xây dựng,Senior: 13 – 20 triệu/tháng
Xây dựng,Giám sát thi công,Fresher/Intern: 2 – 6 triệu/tháng
Xây dựng,Giám sát thi công,Junior: 6 – 9 triệu/tháng
Xây dựng,Giám sát thi công,Senior: 9 – 15 triệu/tháng
Xây dựng,Kỹ sư công trình,"Fresher/Intern: 2 – 5,5, triệu/tháng"
Xây dựng,Kỹ sư công trình,"Junior: 5,5 – 8,5 triệu/tháng"
Xây dựng,Kỹ sư công trình,"Senior: 8,5 – 16 triệu/tháng"
Du lịch – Nhà hàng,Tiếp viên hàng không,Jetstar: 18 – 20 triệu/tháng
Du lịch – Nhà hàng,Tiếp viên hàng không,VietJet Air: 19 – 25 triệu/tháng
Du lịch – Nhà hàng,Tiếp viên hàng không,Bamboo Airways: 16 – 26 triệu/tháng
Du lịch – Nhà hàng,Tiếp viên hàng không,Vietnam Airline: 18 – 26 triệu/tháng
Du lịch – Nhà hàng,Hướng dẫn viên du lịch,Fresher/Intern: 2 – 7 triệu/tháng
Du lịch – Nhà hàng,Hướng dẫn viên du lịch,Junior: 7 – 11 triệu/tháng
Du lịch – Nhà hàng,Hướng dẫn viên du lịch,Senior: 11 – 17 triệu/tháng
Du lịch – Nhà hàng,Giám sát nhà hàng,Fresher/Intern: 3 – 7 triệu/tháng
Du lịch – Nhà hàng,Giám sát nhà hàng,Junior: 7 – 10 triệu/tháng
Du lịch – Nhà hàng,Giám sát nhà hàng,Senior: 10 – 20 triệu/tháng
Du lịch – Nhà hàng,Quản lý nhà hàng,"Fresher/Intern: 3,5 – 6,5 triệu/tháng"
Du lịch – Nhà hàng,Quản lý nhà hàng,"Junior: 6,5 – 10 triệu/tháng"
Du lịch – Nhà hàng,Quản lý nhà hàng,Senior: 10 – 19 triệu/tháng
Ngoại ngữ,Biên dịch viên,Fresher/Intern: 3 – 8 triệu
Ngoại ngữ,Biên dịch viên,Junior: 8 – 15 triệu/tháng
Ngoại ngữ,Biên dịch viên,Senior: 15 – 25 triệu/tháng
Ngoại ngữ,Hướng dẫn viên du lịch,Fresher/Intern: 2 – 7 triệu/tháng
Ngoại ngữ,Hướng dẫn viên du lịch,Junior: 7 – 11 triệu/tháng
Ngoại ngữ,Hướng dẫn viên du lịch,Senior: 11 – 17 triệu/tháng
Ngoại ngữ,Giáo viên ngoại ngữ,Fresher/Intern: 4 – 8 triệu/tháng
Ngoại ngữ,Giáo viên ngoại ngữ,Junior: 8 – 13 triệu/tháng
Ngoại ngữ,Giáo viên ngoại ngữ,Senior: 13 – 21 triệu/tháng
Quản trị khách sạn,Quản lý khách sạn,Fresher/Intern: 4 – 8 triệu/tháng
Quản trị khách sạn,Quản lý khách sạn,Junior: 8 – 13 triệu/tháng
Quản trị khách sạn,Quản lý khách sạn,Senior: 13 – 21 triệu/tháng
Quản trị khách sạn,Lễ tân khách sạn,Fresher/Intern: 5 – 8 triệu/tháng
Quản trị khách sạn,Lễ tân khách sạn,Junior: 8 – 11 triệu/tháng
Quản trị khách sạn,Lễ tân khách sạn,Senior: 11 – 15 triệu/tháng
Quản trị khách sạn,Chăm sóc dịch vụ trong khách sạn,Fresher/Intern:  5 – 7 triệu/tháng
Quản trị khách sạn,Chăm sóc dịch vụ trong khách sạn,Junior: 7 – 12 triệu/tháng
Quản trị khách sạn,Chăm sóc dịch vụ trong khách sạn,Senior: 12 – 20 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư điện,Fresher/Intern: 3 –  7 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư điện,Junior: 7 – 12 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư điện,Senior: 12 – 19 triệu/tháng
Kỹ thuật điện – điện tử,Giám sát kỹ thuật,Fresher/Intern: 4 – 9 triệu/tháng
Kỹ thuật điện – điện tử,Giám sát kỹ thuật,Junior:  9 – 15 triệu/tháng
Kỹ thuật điện – điện tử,Giám sát kỹ thuật,Senior: 15 – 24 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư giám sát,Fresher/Intern: 4 – 9 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư giám sát,Junior: 9 – 15 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư giám sát,Senior: 15 – 21 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư bảo trì,Fresher/Intern: 3 – 8 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư bảo trì,Junior: 8 – 14 triệu/tháng
Kỹ thuật điện – điện tử,Kỹ sư bảo trì,Senior: 14 – 21 triệu/tháng
Y dược,Bác sĩ,Mới ra trường: 15-20 triệu VNĐ/tháng.
Y dược,Bác sĩ,Có kinh nghiệm 3-5 năm: 30-50 triệu VNĐ/tháng.
Y dược,Bác sĩ,Trên 5 năm kinh nghiệm: 50-80 triệu VNĐ/tháng.
Y dược,Bác sĩ,Bác sĩ chuyên khoa: Có thể lên đến trên 100 triệu VNĐ/tháng.
Y dược,Dược sĩ,Mới ra trường: 8-12 triệu VNĐ/tháng.
Y dược,Dược sĩ,Có kinh nghiệm 3-5 năm: 15-25 triệu VNĐ/tháng.
Y dược,Dược sĩ,Trên 5 năm kinh nghiệm: 25-40 triệu VNĐ/tháng.
Y dược,Dược sĩ,Dược sĩ chuyên ngành: Có thể đạt 50 triệu VNĐ/tháng hoặc cao hơn.
Y dược,Điều dưỡng,Mới ra trường: 7-10 triệu VNĐ/tháng.
Y dược,Điều dưỡng,Có kinh nghiệm 3-5 năm: 12-18 triệu VNĐ/tháng.
Y dược,Điều dưỡng,Trên 5 năm kinh nghiệm: 18-25 triệu VNĐ/tháng.
Y dược,Điều dưỡng,Điều dưỡng chuyên khoa: Có thể lên đến 30 triệu VNĐ/tháng.
Y dược,Y tá,Fresher/Intern: 4 – 6 triệu/tháng
Y dược,Y tá,Junior: 6 – 10 triệu/tháng
Y dược,Y tá,Senior:10 – 17 triệu/tháng
Bất động sản,Chuyên viên môi giới,Fresher/Intern: 4 – 7 triệu/tháng
Bất động sản,Chuyên viên môi giới,Junior: 7 – 13 triệu/tháng
Bất động sản,Chuyên viên môi giới,Senior: 13 – 20 triệu/tháng
Bất động sản,Nhân viên kinh doanh,"Fresher/Intern: 3,5 – 8 triệu/tháng"
Bất động sản,Nhân viên kinh doanh,Junior: 8 – 15 triệu/tháng
Bất động sản,Nhân viên kinh doanh,Senior: 15 – 21 triệu/tháng
Bất động sản,Chuyên viên tư vấn,Fresher/Intern: 4 – 7 triệu/tháng
Bất động sản,Chuyên viên tư vấn,Junior: 7 – 15 triệu/tháng
Bất động sản,Chuyên viên tư vấn,Senior: 15 – 19 triệu/tháng
Bất động sản,Chuyên viên phân tích đầu tư,Fresher/Intern: 4 – 9 triệu/tháng
Bất động sản,Chuyên viên phân tích đầu tư,Junior: 9 – 16 triệu/tháng
Bất động sản,Chuyên viên phân tích đầu tư,Senior: 16 – 22 triệu/tháng
Quản trị nhân lực,Hành chính nhân sự,Fresher/Intern: 3 – 6 triệu/tháng
Quản trị nhân lực,Hành chính nhân sự,Junior: 6 – 9 triệu/tháng
Quản trị nhân lực,Hành chính nhân sự,Senior: 9 – 15 triệu/tháng
Quản trị nhân lực,Chuyên viên tuyển dụng,Fresher/Intern: 3 – 7 triệu/tháng
Quản trị nhân lực,Chuyên viên tuyển dụng,Junior: 7 – 12 triệu/tháng
Quản trị nhân lực,Chuyên viên tuyển dụng,Senior: 12 – 18 triệu/tháng
Quản trị nhân lực,Chuyên viên phát triển nguồn lực,Fresher/Intern: 4 – 8 triệu/tháng
Quản trị nhân lực,Chuyên viên phát triển nguồn lực,Junior: 8 – 16 triệu/tháng
Quản trị nhân lực,Chuyên viên phát triển nguồn lực,Senior: 16 – 24 triệu/tháng
Ngân hàng,Chuyên viên tài chính,Fresher/Intern: 3 – 7 triệu/tháng
Ngân hàng,Chuyên viên tài chính,Junior: 7 – 10 triệu tháng
Ngân hàng,Chuyên viên tài chính,Senior: 10 – 17 triệu/tháng
Ngân hàng,Chuyên viên phân tích tài chính,Fresher/Intern: 4 – 9 triệu/tháng
Ngân hàng,Chuyên viên phân tích tài chính,Junior:  9 – 15 triệu/tháng
Ngân hàng,Chuyên viên phân tích tài chính,Senior: 15 – 21 triệu/tháng
Ngân hàng,Chuyên viên tư vấn ngân hàng,Fresher/Intern: 5 – 9 triệu/tháng
Ngân hàng,Chuyên viên tư vấn ngân hàng,Junior: 9 – 15 triệu/tháng
Ngân hàng,Chuyên viên tư vấn ngân hàng,Senior: 15 – 24 triệu/tháng
Ngân hàng,Quản lý chi phí,Fresher/Intern: 5 – 8 triệu/tháng
Ngân hàng,Quản lý chi phí,Junior: 8 – 14 triệu/tháng
Ngân hàng,Quản lý chi phí,Senior: 14 – 30 triệu/tháng
Hàng không,Chuyên viên điều hành máy bay,Fresher/Intern: 8 – 12 triệu/tháng
Hàng không,Chuyên viên điều hành máy bay,Junior: 12 – 19 triệu/tháng
Hàng không,Chuyên viên điều hành máy bay,Senior: 19 – 50 triệu tháng
Hàng không,Phi công,"Hãng Vietnam Airline: khoảng 132,5 triệu/năm"
Hàng không,Phi công,Hãng Vietjet: khoảng 180 triệu/tháng
Hàng không,Phi công,Hãng Bamboo Airway: khoảng 200 triệu/tháng
Hàng không,Chuyên viên kiểm soát không lưu,Fresher/Intern: 7 – 12 triệu/tháng
Hàng không,Chuyên viên kiểm soát không lưu,Junior: 12 – 18 triệu/tháng
Hàng không,Chuyên viên kiểm soát không lưu,Senior: 18 – 27 triệu/tháng
