Tên dự án,Giá,Diện tích,Loại nhà,Vị trí,Phòng ngủ,Nhà vệ sinh,Ngày đăng,Trang
SIÊU PHẨM ĐỊNH CÔNG NHÀ 35M 6 TẦNG THÁNG MÁY - LÔ GÓC 30 M ...,8 Tỷ,35 M²,Nhà Đất Thổ Cư,Định Công,4 Phòng ngủ,5 WC,"2/4/2025, lúc: 11 giờ 20 phút",702
"🏡 BÁN NHÀ ĐẸP HOÀNG HOA THÁM, TÂY HỒ - DIỆN TÍCH: 37M² GI...",7.9 Tỷ,37 M²,Nhà Đất Thổ Cư,Quận Tây Hồ,3 Phòng ngủ,4 WC,"2/4/2025, lúc: 11 giờ 14 phút",703
"BÁN GẤP CĂN 3 NGỦ VIEW HỒ TẠI VINHOMES D CAPITALE, SHLD",11 Tỷ,100 M²,Căn Hộ Chung Cư,Chung Cư Vinhomes Trần Duy Hưng,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 11 giờ 3 phút",703
"BÁN ĐẤT LÕI NGỌC THỤY NGÕ THÔNG Ô TÔ ĐỖ CỬA,DT 98M², MT 5M, ...",15 Tỷ,98 M²,Nhà Đất Thổ Cư,Quận Long Biên,,,"2/4/2025, lúc: 10 giờ 47 phút",703
HIẾM GIÁ HỜI PHỐ CẦU GIẤY DT39M2 4T GIÁ CHỈ 7.3TỶ,7.3 Tỷ,39 M²,Nhà Trong Ngõ,Quận Cầu Giấy,4 Phòng ngủ,3 WC,"2/4/2025, lúc: 10 giờ 43 phút",703
NHÀ VÂN CANH - 10M RA ĐƯỜNG TỈNH LỘ Ô TÔ TẢI TRÁNH NHAU - NH...,98 Triệu,34 M²,"Nhà Biệt Thự, Liền Kề",Đường Tỉnh Lộ 422,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 10 giờ 40 phút",703
"BÁN 1N 1 43M2 TOÀ S1 VHS NỘI THẤT GIÁ 3,130 TỶ BP. LIÊN HỆ:0...",3.13 Tỷ,43 M²,Căn Hộ Chung Cư,Vinhomes Smart City,1 Phòng ngủ,1 WC,"2/4/2025, lúc: 10 giờ 30 phút",703
CẦN BÁN CĂN HỘ STUDIO 29M2 FULL NỘI THẤT GIÁ 1.68 TỶ TẠI VIN...,1.68 Tỷ,29 M²,Căn Hộ Chung Cư,Vinhomes Ocean Park,1 Phòng ngủ,1 WC,"2/4/2025, lúc: 10 giờ 30 phút",703
"🔥 CƠ HỘI ĐẦU TƯ - BÁN ĐẤT VỊ TRÍ VÀNG TẠI THẠCH BÀN, LONG B...",8.95 Tỷ,81 M²,Đất Nền Dự Án,Quận Long Biên,,,"2/4/2025, lúc: 10 giờ 22 phút",703
"BÁN CĂN HỘ HỌC VIỆN QUỐC PHÒNG XUÂN LA 136M2 3PN 1 2 VS 9,7 ...",9.7 Tỷ,136 M²,Căn Hộ Chung Cư,Xuân La,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 10 giờ 20 phút",703
🔥 BÁN NHÀ GIÁ TỐT - CHỈ 4.7 TỶ 🔥,4.7 Tỷ,30 M²,Nhà Đất Thổ Cư,Quận Hà Đông,4 Phòng ngủ,4 WC,"2/4/2025, lúc: 10 giờ 20 phút",703
NHÀ MINH KHAI HOÀNG MAI 36 M2 4 TẦNG VỊ TRÍ ĐẸP MẶT NGÕ KI...,5.7 Tỷ,36 M²,Nhà Đất Thổ Cư,Mai Động,3 Phòng ngủ,4 WC,"2/4/2025, lúc: 10 giờ 20 phút",703
"🔥 BÁN ĐẤT CỔ LINH LONG BIÊN,NGÕ Ô TÔ ,DT 70M², MT 4,1M G...",8.2 Tỷ,70 M²,Nhà Đất Thổ Cư,Quận Long Biên,,,"2/4/2025, lúc: 10 giờ 11 phút",703
BÁN NHÀ 3 TẦNG MẶT PHỐ VĨNH HƯNG HOÀNG MAI DT105M MT7M GIÁ 2...,23.3 Tỷ,105 M²,Nhà Mặt Phố,Quận Hoàng Mai,,,"2/4/2025, lúc: 10 giờ 6 phút",703
📌📌📌 LÔ GÓC 4T 32/36M2 - 7.2 TỶ - GẦN PHỐ GẦN Ô TÔ - NHÀ Đ...,7.2 Tỷ,32 M²,Nhà Trong Ngõ,Quận Nam Từ Liêm,4 Phòng ngủ,,"2/4/2025, lúc: 10 giờ 13 phút",703
"CỰC HIẾM, PHÂN KHÚC 6 TỶ MỸ ĐÌNH, NHÀ 5 TẦNG 32M2, OTO ĐỖ CỬ...",6.75 Tỷ,32 M²,Nhà Trong Ngõ,Quận Nam Từ Liêm,,,"2/4/2025, lúc: 10 giờ 13 phút",703
BÁN NHÀ RIÊNG PHƯƠNG MAI ĐỐNG ĐA DT60M 10TẦNG GIÁ 20TỶ800 HI...,21 Tỷ,60 M²,Nhà Đất Thổ Cư,Quận Thanh Xuân,,,"2/4/2025, lúc: 10 giờ 3 phút",703
"CẦN BÁN CĂN HỘ GÓC 76M, BAN CÔNG HƯỚNG NAM, FULL NỘI THẤT TẠ...",2.66 Tỷ,76 M²,Căn Hộ Chung Cư,Kđt Mường Thanh - Thanh Hà,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 9 giờ 57 phút",703
✅ BÁN GẤP NHÀ GIÁ RẺ MẶT PHỐ KIM ĐỒNG 50M* 6 TẦNG* MT 4.9 * ...,15 Tỷ,50 M²,Nhà Đất Thổ Cư,Kim Đồng,11 Phòng ngủ,11 WC,"2/4/2025, lúc: 9 giờ 55 phút",703
"MỞ BÁN CĂN HỘ 2 NGỦ, 2 VỆ SINH, 82.2M2 - DỰ ÁN WESTLAKE RESI...",120 Triệu,82 M²,Căn Hộ Chung Cư,Quận Tây Hồ,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 9 giờ 51 phút",703
NHÀ #BẠCH_MAI - HAI BÀ TRƯNG 3 MẶT THOÁNG 5 TẦNG NHỈNH 6 ...,6 Tỷ,40 M²,Nhà Đất Thổ Cư,Bạch Mai,,,"2/4/2025, lúc: 9 giờ 37 phút",703
"BÁN NHÀ ĐỘI CẤN, BA ĐÌNH 26M, 4 TẦNG, GIÁ 5.7 TỈ, NGÕ THÔNG,...",5.7 Tỷ,26 M²,Nhà Trong Ngõ,Đội Cấn,3 Phòng ngủ,3 WC,"2/4/2025, lúc: 9 giờ 35 phút",704
"BÁN 50M2 ĐẤT THỔ CƯ, TẰNG MY,NAM HỒNG,ĐÔNG ANH,HÀ NỘI.",35 Tỷ,50 M²,Nhà Đất Thổ Cư,Huyện Đông Anh,,,"2/4/2025, lúc: 9 giờ 29 phút",704
"HIẾM, CCMN ĐÔNG TÁC ĐỐNG ĐA- 8 TẦNG14 PHÒNG, 0988183187 HẰNG...",11 Tỷ,48 M²,"Nhà Trọ, Phòng Trọ",Quận Đống Đa,11 Phòng ngủ,11 WC,"2/4/2025, lúc: 9 giờ 27 phút",704
"VUA MẶT PHỐ - BÁN NHÀ MẶT PHỐ YÊN BÁI 2 GIÁ 17 TỶ, 33.5M X 4...",17 Tỷ,34 M²,Nhà Mặt Phố,Yên Bái 2,,,"2/4/2025, lúc: 9 giờ 13 phút",704
"BÁN NHÀ PHỐ PHƯƠNG LIỆT, THANH XUÂN, 6 TẦNG THANG MÁY MỚI, L...",13.9 Tỷ,65 M²,Nhà Đất Thổ Cư,Quận Thanh Xuân,,,"2/4/2025, lúc: 9 giờ 10 phút",704
BA ĐÌNH NHÀ ĐẸP 24M2 X ĐỔ MÁI BÊ TÔNG CẢ 6 TẦNG - CÁCH MẶT P...,Thỏa Thuận,24 M²,Nhà Đất Thổ Cư,Quận Ba Đình,,,"2/4/2025, lúc: 9 giờ 8 phút",704
"VUA MẶT NGÕ - BÁN NHÀ PHỐ NGÔ QUYỀN GIÁ 17 TỶ, DT 28.6M2. MT...",17 Tỷ,29 M²,Nhà Mặt Phố,Ngô Quyền,,,"2/4/2025, lúc: 9 giờ 5 phút",704
"CẦN BÁN CĂN HỘ GÓC 80M 2 MẶT THOÁNG, NHÀ MỚI LÀM LẠI NỘI THẤ...",2.9 Tỷ,80 M²,Căn Hộ Chung Cư,Kđt Mường Thanh - Thanh Hà,2 Phòng ngủ,2 WC,"2/4/2025, lúc: 9 giờ 1 phút",704
"BÁN CĂN HỘ CHUNG CƯ NGOẠI GIAO ĐOÀN N01-T1,BẮC TỪ LIÊM, 3 NG...",11.1 Tỷ,133 M²,Căn Hộ Chung Cư,Kđt Ngoại Giao Đoàn,3 Phòng ngủ,3 WC,"2/4/2025, lúc: 9 giờ 1 phút",704
BA ĐÌNH NHÀ ĐẸP 60M2 X MẶT TIỀN 4.6M - THANG MÁY - NGÕ THÔNG...,Thỏa Thuận,60 M²,Nhà Đất Thổ Cư,Quận Ba Đình,,,"2/4/2025, lúc: 8 giờ 58 phút",704
SIÊU PHẨM CHUNG CƯ CAO CẤP - WESTLAKE RESIDENTIAL,Thỏa Thuận,108 M²,Căn Hộ Chung Cư,Võ Chí Công,3 Phòng ngủ,3 WC,"2/4/2025, lúc: 8 giờ 47 phút",704
CHUNG CƯ CAO CẤP B6 GIẢNG VÕ THEGOLDEN ARMOR DT105M 3 NGỦ -...,13.5 Tỷ,105 M²,Căn Hộ Chung Cư,Quận Ba Đình,3 Phòng ngủ,,"2/4/2025, lúc: 8 giờ 50 phút",704
BÁN NHÀ NGÕ 300 NGUYỄN XIỂN DT42M 4 TẦNG GIÁ 6TỶ850 NHÀ ĐẸP ...,6.85 Tỷ,42 M²,Nhà Đất Thổ Cư,Quận Thanh Xuân,4 Phòng ngủ,,"2/4/2025, lúc: 8 giờ 50 phút",704
"CẤN BÁN NHÀ 7 TẦNG THANG MÁY Ở XALA, PHÚC LA, HÀ ĐÔNG",15.5 Tỷ,45 M²,Nhà Đất Thổ Cư,Quận Hà Đông,,,"2/4/2025, lúc: 8 giờ 46 phút",704
"SIÊU HÓT OTO TRÁNH KINH DOANH GIẢI PHÓNG, HOÀNG LIỆT, HOÀNG ...",3.9 Tỷ,25 M²,Nhà Đất Thổ Cư,Quận Hoàng Mai,3 Phòng ngủ,3 WC,"2/4/2025, lúc: 8 giờ 35 phút",704
"VUA MẶT PHỐ - BÁN NHÀ MẶT PHỐ HỒNG HÀ GIÁ 16 TỶ, 40M X 5T, M...",16 Tỷ,40 M²,Nhà Mặt Phố,Hồng Hà,,,"2/4/2025, lúc: 8 giờ 25 phút",704
"BÁN CĂN HỘ 3 NGỦ CHUNG CƯ OCT3B, PHẠM VĂN ĐỒNG,BẮC TỪ LIÊM C...",5.97 Tỷ,104 M²,Căn Hộ Chung Cư,Chung Cư Resco Cổ Nhuế,3 Phòng ngủ,2 WC,"2/4/2025, lúc: 8 giờ 23 phút",704
BÁN NHÀ ĐẸP - HIẾM - CHÙA LÁNG 2 THOÁNG 4 TẦNG 4 NGỦ - 48...,11.5 Tỷ,48 M²,Nhà Đất Thổ Cư,Chùa Láng,4 Phòng ngủ,3 WC,"2/4/2025, lúc: 8 giờ 11 phút",704
"BÁN NHÀ MẶT PHỐ YÊN LẠC, HAI BÀ TRƯNG Ô TÔ TRÁNH 32M2X4 TẦNG...",8.3 Tỷ,32 M²,Nhà Mặt Phố,Quận Hai Bà Trưng,,,"2/4/2025, lúc: 8 giờ 9 phút",704
